id,match_code,team_a,team_b,match_date,group_name,actual_score_a,actual_score_b,status,created_at,stadium,stage,matchday_id
9527513a-7bb9-4488-9792-662d999ffff2,M85,TBD,TBD,2026-07-02 19:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"BC Place, Vancouver",round_of_32,
9817558d-72c2-4331-8da3-42d7ddc51c46,M25,CZE,RSA,2026-06-18 16:00:00+00,A,,,upcoming,2026-05-20 18:39:44.353149+00,"Mercedes-Benz Stadium, Atlanta",group,
998935b5-9fea-42e8-9cd1-7d65bd4e519c,M46,PAN,CRO,2026-06-23 23:00:00+00,L,,,upcoming,2026-05-20 18:39:44.353149+00,"BMO Field, Toronto",group,
a052fa9f-f952-4a41-9fa6-1a6fa9d5a469,M88,TBD,TBD,2026-07-03 19:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Mercedes-Benz Stadium, Atlanta",round_of_32,
a4327502-0f80-4a21-87cd-79c2bc86118c,M57,JPN,SWE,2026-06-25 23:00:00+00,F,,,upcoming,2026-05-20 18:39:44.353149+00,"AT&T Stadium, Arlington, Texas",group,
a5c877f1-afc6-4c2b-997b-bd6169fcf3f8,M35,NED,SWE,2026-06-20 17:00:00+00,F,,,upcoming,2026-05-20 18:39:44.353149+00,"NRG Stadium, Houston",group,
a664b99d-cb42-40da-8afd-b67f52031d32,M83,TBD,TBD,2026-07-01 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Gillette Stadium, Boston",round_of_32,
abe4ba72-f6f2-4116-9586-fbd98c0725bc,M80,TBD,TBD,2026-06-30 20:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"NRG Stadium, Houston",round_of_32,
ae84e4c5-6ff7-4364-96e8-c203cf32981a,M102,TBD,TBD,2026-07-14 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Mercedes-Benz Stadium, Atlanta",semifinal,
b1804fcd-b605-4fe5-95c3-f02002bbedf0,M71,COL,POR,2026-06-27 23:30:00+00,K,,,upcoming,2026-05-20 18:39:44.353149+00,"Hard Rock Stadium, Miami Gardens, Florida",group,
b7de2f53-bf45-4d25-a619-5fc5e2b2a99e,M84,TBD,TBD,2026-07-01 19:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Gillette Stadium, Boston",round_of_32,
c0793883-2086-46ff-99ed-79f810c31cc6,M89,TBD,TBD,2026-07-04 18:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"AT&T Stadium, Dallas",round_of_16,
c224671b-a313-4798-b35c-51386a8dcdbd,M52,BIH,QAT,2026-06-24 19:00:00+00,B,,,upcoming,2026-05-20 18:39:44.353149+00,"Lumen Field, Seattle",group,
c776b293-fa9f-4fe9-a455-c14e9566948a,M24,UZB,COL,2026-06-18 02:00:00+00,K,,,upcoming,2026-05-20 18:39:44.353149+00,"Estadio Azteca, Mexico City",group,
ca52388d-85bf-4c20-82a0-f0530c8dcf6b,M19,ARG,ALG,2026-06-17 01:00:00+00,J,,,upcoming,2026-05-20 18:39:44.353149+00,"Arrowhead Stadium, Kansas City, Missouri",group,
cb523ef5-cfe9-4432-93bc-8e911520d2c1,M27,CAN,QAT,2026-06-18 22:00:00+00,B,,,upcoming,2026-05-20 18:39:44.353149+00,"BC Place, Vancouver",group,
ce4d2972-8882-4cd3-acd2-56b99d0707a3,M101,TBD,TBD,2026-07-13 17:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"AT&T Stadium, Dallas",semifinal,
d01caae7-7d94-441b-8fb0-e53eed9afda3,M09,CIV,ECU,2026-06-14 23:00:00+00,E,,,upcoming,2026-05-20 18:39:44.353149+00,"Lincoln Financial Field, Philadelphia",group,
d12512b2-b308-4b6c-9065-e03abe4f83be,M11,NED,JPN,2026-06-14 20:00:00+00,F,,,upcoming,2026-05-20 18:39:44.353149+00,"AT&T Stadium, Arlington, Texas",group,
d25bb4a4-c803-44b0-92bc-8c2fc3879a5e,M08,QAT,SUI,2026-06-13 19:00:00+00,B,,,upcoming,2026-05-20 18:39:44.353149+00,"Levi's Stadium, Santa Clara, California",group,
d677b1ba-da20-49bf-b0ef-d48e8630f1d8,M97,TBD,TBD,2026-07-09 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"MetLife Stadium, New York/New Jersey",quarterfinal,
da219bc0-f494-4cc4-afd1-2e9b9eba15c3,M12,SWE,TUN,2026-06-15 02:00:00+00,F,,,upcoming,2026-05-20 18:39:44.353149+00,"Estadio BBVA, Guadalupe, Nuevo León",group,
dad1c2cf-2f5f-4db5-b832-23d6927a3012,M54,RSA,KOR,2026-06-25 01:00:00+00,A,,,upcoming,2026-05-20 18:39:44.353149+00,"Estadio BBVA, Guadalupe, Nuevo León",group,
db2e045d-ffe0-4bdc-9c7e-c85509716aa4,M53,CZE,MEX,2026-06-25 01:00:00+00,A,,,upcoming,2026-05-20 18:39:44.353149+00,"Estadio Azteca, Mexico City",group,
de221357-a328-46be-a839-a203de6774ef,M73,TBD,TBD,2026-06-28 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"SoFi Stadium, Los Angeles",round_of_32,
e2ef7520-2341-4e0c-ab39-e3948bdd8204,M82,TBD,TBD,2026-06-30 19:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"MetLife Stadium, New York/New Jersey",round_of_32,
e7983c12-55b5-44a0-8797-ab35a3e4d850,M55,CUW,CIV,2026-06-25 20:00:00+00,E,,,upcoming,2026-05-20 18:39:44.353149+00,"Lincoln Financial Field, Philadelphia",group,
e85e9cd7-bf02-4186-a457-1f491fb7e658,M78,TBD,TBD,2026-06-29 22:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Levi's Stadium, San Francisco Bay Area",round_of_32,
e8e58b9f-cca1-481e-aa2b-6a1ba355cd71,M93,TBD,TBD,2026-07-06 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Hard Rock Stadium, Miami",round_of_16,
e8ef121b-ce6d-4648-b653-385f76d05f38,M28,MEX,KOR,2026-06-19 01:00:00+00,A,,,upcoming,2026-05-20 18:39:44.353149+00,"Estadio Akron, Zapopan",group,
ea0e804c-ad10-47d8-b94a-adc48d626d16,M104,TBD,TBD,2026-07-19 16:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"MetLife Stadium, New York/New Jersey",final,
eb603197-7d04-41ce-a516-26f6ab4c5f45,M86,TBD,TBD,2026-07-02 22:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"BC Place, Vancouver",round_of_32,
ee19525b-b85d-455f-b6a7-8d71aba0f4a0,M14,ESP,CPV,2026-06-15 16:00:00+00,H,,,upcoming,2026-05-20 18:39:44.353149+00,"Mercedes-Benz Stadium, Atlanta",group,
f9d47496-83b1-4025-b562-64124a3a028b,M76,TBD,TBD,2026-06-29 20:00:00+00,,,,upcoming,2026-05-20 18:47:31.526932+00,"Arrowhead Stadium, Kansas City",round_of_32,
